lEntity,Rela,rEntity
lung abscess,is present in,lungs
empyema,is present in,pleural space
bronchopleural fistula,is present in,chest
pneumonectomy,affects,lung
lobectomy,affects,lung lobe
wedge resection,affects,lung
lung transplant,affects,lungs
chest tube,is present in,pleural space
endotracheal tube,is present in,trachea
nasogastric tube,is present in,esophagus
tracheostomy tube,is present in,trachea
Swan-Ganz catheter,is present in,pulmonary artery
implantable cardioverter-defibrillator,is present in,chest
breast implants,are present in,chest
sternal wires,are present in,sternum
aortic stent,is present in,aorta
coronary artery bypass grafts,are present in,heart
pectus excavatum,affects,chest wall
pectus carinatum,affects,chest wall
flail chest,affects,ribs
rib notching,affects,ribs
costal cartilage calcification,affects,ribs
cervical ribs,are,present
bone lesions,are present in,ribs
bone lesions,are present in,spine
bone lesions,are present in,scapula
bone lesions,are present in,clavicle
bone lesions,are present in,humerus
subcutaneous emphysema,is present in,soft tissues
soft tissue calcification,is present in,chest wall
nipple shadow,is present on,chest wall
gynecomastia,affects,chest wall
hilar calcification,is present in,lung hila
splenic calcification,is present in,left upper quadrant
gallstones,are present in,right upper quadrant
diaphragmatic eventration,affects,diaphragm
diaphragmatic paralysis,affects,diaphragm
gastric bubble,is present under,left diaphragm
pneumoperitoneum,is present under,diaphragm
chilaiditi syndrome,affects,colon and liver
aortic knob,is,prominent
pulmonary artery knob,is,prominent
azygos fissure,is present in,right lung
right paratracheal stripe,is,widened
aortopulmonary window,is,widened
retrosternal clear space,is,narrowed
anterior junction line,is,displaced
posterior junction line,is,displaced
right atrial enlargement,affects,heart
left atrial enlargement,affects,heart
right ventricular enlargement,affects,heart
left ventricular enlargement,affects,heart
pulmonary arterial hypertension,affects,pulmonary arteries
kerley B lines,are present in,lung periphery
peribronchial cuffing,is present around,bronchi
air trapping,is present in,lungs
hyperinflation,affects,lungs
bronchial wall thickening,affects,bronchi
tracheal narrowing,affects,trachea
tracheal dilation,affects,trachea
thyroid enlargement,affects,neck
