lEntity,Rela,rEntity
lung abscess,is present in,lungs
empyema,is present in,pleural space
bronchopleural fistula,is present in,chest
pneumonectomy,affects,lung
lobectomy,affects,lung lobe
wedge resection,affects,lung
lung transplant,affects,lungs
chest tube,is present in,pleural space
endotracheal tube,is present in,trachea
nasogastric tube,is present in,esophagus
tracheostomy tube,is present in,trachea
Swan-Ganz catheter,is present in,pulmonary artery
implantable cardioverter-defibrillator,is present in,chest
breast implants,are present in,chest
sternal wires,are present in,sternum
aortic stent,is present in,aorta
coronary artery bypass grafts,are present in,heart
pectus excavatum,affects,chest wall
pectus carinatum,affects,chest wall
flail chest,affects,ribs
rib notching,affects,ribs
costal cartilage calcification,affects,ribs
cervical ribs,are,present
bone lesions,are present in,ribs
bone lesions,are present in,spine
bone lesions,are present in,scapula
bone lesions,are present in,clavicle
bone lesions,are present in,humerus
subcutaneous emphysema,is present in,soft tissues
soft tissue calcification,is present in,chest wall
nipple shadow,is present on,chest wall
gynecomastia,affects,chest wall
hilar calcification,is present in,lung hila
splenic calcification,is present in,left upper quadrant
gallstones,are present in,right upper quadrant
diaphragmatic eventration,affects,diaphragm
diaphragmatic paralysis,affects,diaphragm
gastric bubble,is present under,left diaphragm
pneumoperitoneum,is present under,diaphragm
chilaiditi syndrome,affects,colon and liver
aortic knob,is,prominent
pulmonary artery knob,is,prominent
azygos fissure,is present in,right lung
right paratracheal stripe,is,widened
aortopulmonary window,is,widened
retrosternal clear space,is,narrowed
anterior junction line,is,displaced
posterior junction line,is,displaced
right atrial enlargement,affects,heart
left atrial enlargement,affects,heart
right ventricular enlargement,affects,heart
left ventricular enlargement,affects,heart
pulmonary arterial hypertension,affects,pulmonary arteries
kerley B lines,are present in,lung periphery
peribronchial cuffing,is present around,bronchi
air trapping,is present in,lungs
hyperinflation,affects,lungs
bronchial wall thickening,affects,bronchi
tracheal narrowing,affects,trachea
tracheal dilation,affects,trachea
thyroid enlargement,affects,neck
lungs,are,clear
heart size,is,normal
pleural effusion,is,no
pneumothorax,is,no
cardiomediastinal silhouette,is,normal
pulmonary vasculature,is,normal
focal consolidation,is,no
thoracic spine,has,degenerative changes
aorta,has,atherosclerotic changes
ribs,have,fractures
mediastinum,is,unremarkable
lung nodules,are,present
sternotomy wires,are,present
hilar contours,are,normal
trachea,is,midline
costophrenic angles,are,clear
diaphragm,is,elevated
cardiac silhouette,is,normal
bony structures,are,intact
lung apices,are,clear
airspace disease,is,present
pleural thickening,is,present
calcified lymph nodes,are,present
hiatal hernia,is,present
pacemaker,is,in place
central venous catheter,is,present
lung volumes,are,normal
interstitial markings,are,prominent
pulmonary edema,is,absent
emphysematous changes,are,present
scoliosis,is,present
kyphosis,is,present
vertebral bodies,have,compression fractures
aortic knob,is,calcified
pulmonary arteries,are,prominent
breast implants,are,present
surgical clips,are,present
granulomas,are,present
lung bases,are,clear
mediastinal contours,are,normal
pulmonary vascularity,is,within normal limits
osseous structures,are,unremarkable
soft tissues,are,unremarkable
cardiothoracic ratio,is,normal
lung markings,are,normal
pleural spaces,are,clear
thoracic aorta,is,tortuous
cardiac apex,is,normal
lung fields,are,clear
rib cage,is,intact
clavicles,are,intact
scapulae,are,intact
lung parenchyma,is,clear
bronchial tree,is,normal
pulmonary vessels,are,normal
heart borders,are,normal
mediastinal width,is,normal
lung inflation,is,normal
diaphragmatic contours,are,normal
costophrenic sulci,are,clear
tracheal air column,is,midline
hilar shadows,are,normal
lung apices,are,free of infiltrates
bony thorax,is,intact
chest wall,is,normal
cardiophrenic angles,are,clear
azygoesophageal recess,is,normal
retrocardiac space,is,clear
lung periphery,is,clear
major fissures,are,normal
minor fissures,are,normal
pulmonary arteries,are,normal in caliber
pulmonary veins,are,normal
bronchial walls,are,normal
peribronchial cuffing,is,absent
interstitial lines,are,normal
pleural reflections,are,normal
lung apices,are,symmetrical
lung bases,are,symmetrical
thoracic cage,is,symmetrical
mediastinal contour,is,normal
cardiac size,is,within normal limits
pulmonary vasculature,is,not congested
costophrenic angles,are,sharp
lung volumes,are,preserved
tracheal air shadow,is,midline
hilar structures,are,normal
aortic arch,is,normal
pulmonary conus,is,normal
left atrial appendage,is,normal
right atrial border,is,normal
left ventricular border,is,normal
right ventricular border,is,normal
diaphragmatic contours,are,smooth
lung fields,are,symmetrical
bony structures,show,no acute abnormalities
soft tissues,show,no abnormalities
cardiomediastinal silhouette,is,within normal limits
pulmonary vasculature,is,not engorged
lung parenchyma,shows,no focal opacities
lung apices,are,free of masses
lung bases,are,free of infiltrates
cardiac silhouette,is,not enlarged
mediastinum,is,not widened
pulmonary vessels,are,not congested
costophrenic angles,are,not blunted
trachea,is,not deviated
hilar lymph nodes,are,not enlarged
pleural spaces,are,free of fluid
lung fields,are,free of nodules
bony thorax,shows,no fractures
spine,shows,degenerative changes
aorta,is,calcified
heart,is,not enlarged
lungs,are,well-expanded
diaphragm,is,in normal position
chest wall,shows,no abnormalities
mediastinal contours,are,well-defined
pulmonary vasculature,is,normal in distribution
lung markings,are,not increased
bronchial walls,are,not thickened
pleural surfaces,are,smooth
cardiophrenic angles,are,sharp
aortic knob,is,normal in size
pulmonary arteries,are,not prominent
lung volumes,are,not decreased
interstitial pattern,is,normal
alveolar spaces,are,clear
fissures,are,normal in appearance
hilar shadows,are,not prominent
tracheal air column,is,patent
bronchial tree,shows,no abnormalities
lung apices,are,free of bullae
lung bases,are,free of atelectasis
cardiac borders,are,well-defined
mediastinal structures,are,normal
pulmonary vessels,are,not tortuous
costophrenic sulci,are,deep
diaphragmatic contours,are,smooth
lung periphery,is,free of nodules
bony structures,show,no lytic lesions
soft tissues,show,no masses
cardiomediastinal silhouette,is,normal in size
pulmonary vasculature,is,normal in caliber
lung parenchyma,shows,no consolidation
pleural reflections,are,intact
lung apices,are,free of fibrosis
lung bases,are,free of effusions
cardiac silhouette,is,normal in contour
mediastinum,is,not shifted
pulmonary vessels,are,not prominent
costophrenic angles,are,free of blunting
trachea,is,of normal caliber
hilar regions,are,symmetrical
pleural spaces,are,free of thickening
lung fields,are,free of masses
bony thorax,shows,no destructive lesions
spine,shows,no compression fractures
aorta,is,not aneurysmal
heart,shows,normal cardiac borders
lungs,show,normal bronchovascular markings
diaphragm,shows,no eventration
chest wall,shows,no soft tissue masses
mediastinal contours,are,not obscured
pulmonary vasculature,is,not redistributed
lung markings,are,not crowded
bronchial walls,are,not prominent
pleural surfaces,show,no calcifications
cardiophrenic angles,are,free of masses
aortic knob,is,not prominent
pulmonary arteries,are,not dilated
lung volumes,are,not hyperinflated
interstitial pattern,shows,no reticulations
alveolar spaces,show,no opacities
fissures,are,not thickened
hilar shadows,are,not enlarged
tracheal air column,is,not narrowed
bronchial tree,shows,no dilatation
lung apices,show,no pleural thickening
lung bases,show,no discoid atelectasis
cardiac borders,are,not obscured
mediastinal structures,show,no masses
pulmonary vessels,are,not pruned
costophrenic sulci,are,not obliterated
diaphragmatic contours,are,not elevated
lung periphery,shows,no reticular opacities
bony structures,show,no sclerotic lesions
soft tissues,show,no calcifications
cardiomediastinal silhouette,shows,no abnormal contours
pulmonary vasculature,is,not obscured
lung parenchyma,shows,no ground-glass opacities
pleural reflections,show,no thickening
lung apices,show,no cavitary lesions
lung bases,show,no honeycombing
cardiac silhouette,shows,no pericardial effusion
mediastinum,shows,no lymphadenopathy
pulmonary vessels,show,no filling defects
costophrenic angles,show,no pleural plaques
trachea,shows,no foreign bodies
hilar regions,show,no calcified lymph nodes
Bibasilar airspace disease,associated with,bilateral pleural fluid
Lung volumes,are,low
Bibasilar consolidation,present with,bilateral costophrenic XXXX blunting
Heart size,is,normal
Pulmonary XXXX,are,normal
Shunt tubing,traverses,entire image
Right pleural opacity,compatible with,thickening
Right pleural opacity,compatible with,loculated effusion
Right lung base,shows,atelectasis
Right lung base,shows,airspace disease
Round opacity,seen adjacent to,right hilum
Round opacity,represents,discoid atelectasis
Round opacity,represents,fluid in XXXX fissure
Left lower lung,shows,scarring
Left lower lung,shows,chronic inflammatory change
Mediastinal contour,is,stable
Aeration of lung bases,shows,interval improvement
Pleural effusions,show,interval improvement
Left effusion,is,residual small
Right pleural effusion,is,questionable small
Cardiomediastinal silhouette,is,normal
Lung volumes,show,interval improvement bilaterally
Right lung base,shows,improved aeration
Left lung base,shows,improved aeration
Bilateral pleural effusions,are,small
Left base,shows,atelectatic change
Left base atelectatic change,shows,interval improvement
Bilateral effusions,are,XXXX
Heart size,is,within normal limits
Left subclavian central venous catheter,shows,stable position
Focal airspace disease,is,not present
Pneumothorax,is,not present
Costophrenic XXXX,show,mild blunting bilaterally
Congestive heart failure,associated with,basilar pulmonary interstitial edema
Congestive heart failure,associated with,bilateral pleural fluid
Heart,is,large
Pulmonary XXXX,are,engorged
Bibasilar interstitial infiltrates,are,present
Bilateral costophrenic XXXX blunting,is,present
Cardiomegaly,is,present
Vascular congestion,is,present
Interstitial edema,is,probable mild
Bibasilar airspace disease,is,present
Bilateral pleural effusions,are,present
Right pleural effusion,is,greater than left
Pneumothorax,is,not present
Acute bony findings,are,not present
Right pleural fusion,is,loculated
Right pleural fusion,is,unchanged
Chronic interstitial lung disease,shows,no change
Left effusion,is present in,left lateral costophrenic recess
Left lung base airspace disease,is,minimal residual
Heart size,is,stable
Heart,is,moderately enlarged
Aorta,is,tortuous calcified
Right lung,is,clear
Cardiomegaly,is present,without overt heart failure
Right pleural effusion,is,small
Right pleural effusion,shows,no change
Left base airspace disease,shows,clearing
Right lung airspace disease,shows,improvement
Central venous line,has been,removed
Inflammatory defibrillator,is,noted
Heart,is,enlarged
Patient,is status post,XXXX sternotomy
Right pleural effusion,is,present and unchanged
Pneumothorax,is,not seen
Left base airspace disease,shows,clearing
Right lung opacities,may represent,areas of scarring
Left lung,is,clear
Cardiomegaly,is,slight
Right effusion,is,present
Right lower lobe infiltrate,is,present
Right hemithorax,shows,two air-fluid levels
Air-fluid levels,may represent,hydropneumothorax
Air-fluid levels,may represent,empyema with bronchopleural fistula
CT scan with IV contrast,may be,helpful
Left pleural effusion,is,large
Left lung aeration,is,minimal residual
Right pleural effusion,is,small
Right lung,shows,bronchovascular crowding
Right lung,shows,indistinct vascular margination
Bronchovascular crowding,may be secondary to,crowding
Bronchovascular crowding,may be secondary to,infiltrates
Bronchovascular crowding,may be secondary to,pulmonary edema
Heart size assessment,is,limited due to obscured heart XXXX
Left pleural effusion,is present with,adjacent atelectasis
Right effusion,is,XXXX
Cardiomegaly,is present,without overt edema
Cardiac silhouette,is,enlarged but unchanged
Left-sided XXXX central line,has,XXXX lumen
Poly vasculature,is,within normal limits
Mediastinum,is,normal
Bibasilar opacity,is,appreciated
Left bibasilar opacity,is,greater than right
Pneumothorax,is,not present
Bilateral large pleural effusion,is,possibly from pleuritis
Bilateral large pleural effusion,is,possibly sympathetic from pancreatitis
XXXX,are,low
Both costophrenic XXXX,are,blunted
Pulmonary XXXX,are,normal
Visible infiltrates,are not present in,aerated lungs
Small bilateral pleural effusions,are present with,bibasilar atelectasis
Small bilateral pleural effusions,are present with,airspace disease
Left pleural effusion,is,greater than right
Heart size,is,within normal limits
Calcified hilar lymph XXXX,are present,bilaterally
Bibasilar airspace opacities,are present with,small bilateral pleural effusions
Left pleural effusion,is,greater than right
Pneumothorax,is,not present
Acute bony abnormalities,are,not present
Right mid lung consolidation,shows,improvement
Right basilar consolidation,shows,improvement
Right pleural effusion,is,decreasing
Right middle lobe opacification,shows,significant interval decrease
Right lower lobe opacification,shows,significant interval decrease
Right pleural effusion,is,persistent small
XXXX XXXX atelectasis,is,persistent
Pneumothorax,is,not present
Cardiomediastinal silhouette,shows,stable appearance
Acute bone abnormality,is,not present
Patchy bibasilar opacities,are,minimal
Patchy bibasilar opacities,may be,evolving pneumonia
Patchy bibasilar opacities,may be,atelectasis
Bilateral pleural effusions,are,XXXX
Heart,appears,normal
Pulmonary XXXX,appear,normal
Pleural spaces,show,minimal blunting
Pleural spaces blunting,may be due to,XXXX effusions
Right hemidiaphragm,shows,increased elevation
Right basilar atelectasis,is,present
Left basilar airspace disease,is,unchanged
Left pleural effusion,is,unchanged
Right chest tube,shows,interval removal
Pneumothorax,is,not present
Cardiomediastinal silhouette,is,stable
Right hemidiaphragm,shows,increased elevation
Right basilar atelectasis,is,XXXX
Left basilar consolidation,is,seen
Left pleural effusions,are,seen
Focal consolidation,is,not XXXX
Pneumothorax,is,not XXXX
Left PICC,is stable with,tip overlying the mid SVC
Large XXXX feeding tube,courses below,the diaphragm
Right pleural effusion,is,large
Left lower lobe,shows,patchy infiltrate
Pulmonary XXXX,are,normal
Lung volumes,are,decreasing
Bilateral pleural effusions,are,probable
Both hemidiaphragms,show,elevation
Right pleural effusion,is,XXXX XXXX
Right IJ central venous catheter,has,tip overlying the inferior SVC
Cardiac silhouette,is,normal size
Mediastinal contour,is,normal
Pulmonary vasculature,is,normal
Right pleural effusion,is,small
Lungs,are,without focal airspace disease
Cardiac enlargement,is,borderline
Vascular congestion,is present,without overt pulmonary edema
Basilar atelectasis,is present with,XXXX posterior recess pleural effusions
Findings,are consistent with,mild volume overload
Cardiac silhouette,is,enlarged
Cardiac silhouette enlargement,may be consistent with,mild cardiomegaly
Cardiac silhouette enlargement,may be consistent with,small pericardial effusion
Bibasilar atelectasis,is,mild
Bibasilar infiltrates,are,mild
Bilateral pleural effusions,are,probable small
Right pleural effusion,is,greater than left
Right upper lobe,shows,pleural thickening
Right upper lobe,shows,loculated pleural fluid
Tracheostomy tube,shows,interval removal
Right subclavian central venous catheter,shows,interval removal
Cardiac silhouette,is,mildly enlarged
Bilateral costophrenic XXXX,show,blunting
Right costophrenic XXXX blunting,is,greater than left
Right upper lobe,shows,pleural thickening
Right upper lobe,shows,loculated pleural fluid
Right perihilar opacities,are,present
Pneumothorax,is,not identified
Left midlung,shows,mass
Left base,shows,effusion
Hiatal hernia,is,probable
Heart size,appears,within normal limits
Pulmonary vascularity,appears,within normal limits
Left pleural effusion,is,present
Left midlung zone,shows,mass density
Mass density,measures,approximately 3.2 cm in diameter
Air-fluid level,is present,behind the heart
Air-fluid level,probably represents,hiatal hernia
Right lung,shows,XXXX of atelectasis
Spine,shows,osteopenia
Spine,shows,XXXX deformities
Multiple surgical clips,are,noted
Pneumothorax,is,not seen
Right pleural effusion,is,moderate
Right lower lobe,shows,atelectasis
Cardiac contour,is,normal
Aorta,shows,atherosclerotic changes
Left lung XXXX,is,clear
Cardiomegaly,is,present
Bilateral pleural effusions,are,present
Right pleural effusion,is,larger than left
Bibasilar airspace opacities,are,present
Bibasilar airspace opacities,may represent,atelectasis
Bibasilar airspace opacities,may represent,infiltrates
Heart size,is,upper limits of normal
Mediastinal contours,are,normal
Pulmonary vasculature,is,normal
Right pleural effusion,is,moderate
Left pleural effusion,is,small
Bibasilar airspace opacities,are,present
Pneumothorax,is,not identified
Acute osseous abnormality,is,not identified
Heart size,is,normal
Mediastinal contour,is,normal
Pulmonary vasculature,is,normal
Right pleural effusion,is,small
Left pleural effusion,is,small
Bibasilar airspace opacities,are,present
Bibasilar airspace opacities,may represent,atelectasis
Bibasilar airspace opacities,may represent,infiltrates
Pneumothorax,is,not identified
Acute osseous abnormality,is,not identified
Heart size,is,normal
Mediastinal contour,is,normal
Pulmonary vasculature,is,normal
Right pleural effusion,is,small
Left pleural effusion,is,small
Bibasilar airspace opacities,are,present
Bibasilar airspace opacities,may represent,atelectasis
Bibasilar airspace opacities,may represent,infiltrates
Pneumothorax,is,not identified
Acute osseous abnormality,is,not identified
Heart size,is,normal
Mediastinal contour,is,normal
Pulmonary vasculature,is,normal
Right pleural effusion,is,small
Left pleural effusion,is,small
Bibasilar airspace opacities,are,present
Bibasilar airspace opacities,may represent,atelectasis
Bibasilar airspace opacities,may represent,infiltrates
Pneumothorax,is,not identified
Acute osseous abnormality,is,not identified
Heart size,is,normal
Mediastinal contour,is,normal
Pulmonary vasculature,is,normal
Right pleural effusion,is,small
Left pleural effusion,is,small
Bibasilar airspace opacities,are,present
Bibasilar airspace opacities,may represent,atelectasis
Bibasilar airspace opacities,may represent,infiltrates
Pneumothorax,is,not identified
Acute osseous abnormality,is,not identified
Heart size,is,normal
Mediastinal contour,is,normal
Pulmonary vasculature,is,normal
Right pleural effusion,is,small
Left pleural effusion,is,small
Bibasilar airspace opacities,are,present
Bibasilar airspace opacities,may represent,atelectasis
Bibasilar airspace opacities,may represent,infiltrates
Pneumothorax,is,not identified
Acute osseous abnormality,is,not identified
Heart size,is,normal
Mediastinal contour,is,normal
Pulmonary vasculature,is,normal
Right pleural effusion,is,small
Left pleural effusion,is,small
Bibasilar airspace opacities,are,present
Bibasilar airspace opacities,may represent,atelectasis
Bibasilar airspace opacities,may represent,infiltrates
Pneumothorax,is,not identified
Acute osseous abnormality,is,not identified
Heart size,is,normal
Mediastinal contour,is,normal
Pulmonary vasculature,is,normal
Right pleural effusion,is,small
Left pleural effusion,is,small
Bibasilar airspace opacities,are,present
Bibasilar airspace opacities,may represent,atelectasis
Bibasilar airspace opacities,may represent,infiltrates
Pneumothorax,is,not identified
Acute osseous abnormality,is,not identified
Heart size,is,normal
Mediastinal contour,is,normal
Pulmonary vasculature,is,normal
Right pleural effusion,is,small
Left pleural effusion,is,small
Bibasilar airspace opacities,are,present
Bibasilar airspace opacities,may represent,atelectasis
Bibasilar airspace opacities,may represent,infiltrates
Pneumothorax,is,not identified
Acute osseous abnormality,is,not identified
Heart size,is,normal
Mediastinal contour,is,normal
Pulmonary vasculature,is,normal
Right pleural effusion,is,small
Left pleural effusion,is,small
Bibasilar airspace opacities,are,present
Bibasilar airspace opacities,may represent,atelectasis or infiltrates
Heart size,is,normal
Mediastinal contour,is,normal
Pulmonary vasculature,is,normal
Right pleural effusion,is,small
Left pleural effusion,is,small
Bibasilar airspace opacities,are,present
Bibasilar airspace opacities,may represent,atelectasis
Bibasilar airspace opacities,may represent,infiltrates
Pneumothorax,is,not identified
Acute osseous abnormality,is,not identified
Heart size,is,normal
Mediastinal contour,is,normal
Pulmonary vasculature,is,normal
Right pleural effusion,is,small
Left pleural effusion,is,small
Bibasilar airspace opacities,are,present
Bibasilar airspace opacities,may represent,atelectasis
Bibasilar airspace opacities,may represent,infiltrates
Pneumothorax,is,not identified
Acute osseous abnormality,is,not identified
Heart size,is,normal
Mediastinal contour,is,normal
Pulmonary vasculature,is,normal
Right pleural effusion,is,small
Left pleural effusion,is,small
Bibasilar airspace opacities,are,present
Bibasilar airspace opacities,may represent,atelectasis
Bibasilar airspace opacities,may represent,infiltrates
Pneumothorax,is,not identified
Acute osseous abnormality,is,not identified
Heart size,is,normal
Mediastinal contour,is,normal
Pulmonary vasculature,is,normal
Right pleural effusion,is,small
Left pleural effusion,is,small
Bibasilar airspace opacities,are,present
Bibasilar airspace opacities,may represent,atelectasis
Bibasilar airspace opacities,may represent,infiltrates
Pneumothorax,is,not identified
Acute osseous abnormality,is,not identified
Heart size,is,normal
Mediastinal contour,is,normal
Pulmonary vasculature,is,normal
Right pleural effusion,is,small
Left pleural effusion,is,small
Bibasilar airspace opacities,are,present
Bibasilar airspace opacities,may represent,atelectasis
Bibasilar airspace opacities,may represent,infiltrates
Pneumothorax,is,not identified
Acute osseous abnormality,is,not identified
Heart size,is,normal
Mediastinal contour,is,normal
Pulmonary vasculature,is,normal
Right pleural effusion,is,small
Left pleural effusion,is,small
Bibasilar airspace opacities,are,present
Bibasilar airspace opacities,may represent,atelectasis
Bibasilar airspace opacities,may represent,infiltrates
Pneumothorax,is,not identified
Acute osseous abnormality,is,not identified
Heart size,is,normal
Mediastinal contour,is,normal
Pulmonary vasculature,is,normal
Right pleural effusion,is,small
Left pleural effusion,is,small
Bibasilar airspace opacities,are,present
Bibasilar airspace opacities,may represent,atelectasis
Bibasilar airspace opacities,may represent,infiltrates
Pneumothorax,is,not identified
Acute osseous abnormality,is,not identified
Heart size,is,normal
Mediastinal contour,is,normal
Pulmonary vasculature,is,normal
Right pleural effusion,is,small
Left pleural effusion,is,small
Bibasilar airspace opacities,are,present
Bibasilar airspace opacities,may represent,atelectasis
Bibasilar airspace opacities,may represent,infiltrates
Pneumothorax,is,not identified
Acute osseous abnormality,is,not identified
Heart size,is,normal
Mediastinal contour,is,normal
Pulmonary vasculature,is,normal
Right pleural effusion,is,small
Left pleural effusion,is,small
Bibasilar airspace opacities,are,present
Bibasilar airspace opacities,may represent,atelectasis
Bibasilar airspace opacities,may represent,infiltrates
Pneumothorax,is,not identified
Acute osseous abnormality,is,not identified
Heart size,is,normal
Mediastinal contour,is,normal
Pulmonary vasculature,is,normal
Right pleural effusion,is,small
Left pleural effusion,is,small
Bibasilar airspace opacities,are,present
Bibasilar airspace opacities,may represent,atelectasis
Bibasilar airspace opacities,may represent,infiltrates
Pneumothorax,is,not identified
Acute osseous abnormality,is,not identified
Bibasilar airspace disease,associated with,bilateral pleural fluid
Lung volumes,are,low
Bibasilar consolidation,present with,bilateral costophrenic XXXX blunting
Heart size,is,normal
Pulmonary XXXX,is,normal
Shunt tubing,traverses,entire image
Right pleural opacity,compatible with,thickening
Right pleural opacity,compatible with,loculated effusion
Right lung base,shows,atelectasis
Right lung base,shows,airspace disease
Round opacity,projecting adjacent to,right hilum
Round opacity,represents,discoid atelectasis
Round opacity,represents,fluid
XXXX opacities,compatible with,scarring
XXXX opacities,compatible with,chronic inflammatory change
Left lower lung,shows,chronic inflammatory change
Mediastinal contour,is,stable
Lung bases,show,interval improvement in aeration
Pleural effusions,show,interval improvement
Left effusion,is,residual small
Right pleural effusion,is,questionable small
Cardiomediastinal silhouette,is,normal
Lung volumes,show,interval improvement bilaterally
Right lung bases,show,improved aeration
Left lung bases,show,improved aeration
Bilateral pleural effusions,are,small
Left base,shows,atelectatic change
Left base atelectatic change,shows,interval improvement
Visualized XXXX of the chest XXXX,are,within normal limits
Bilateral effusions,are,XXXX
Heart size,is,within normal limits
Left subclavian central venous catheter,has,stable position
Focal airspace disease,is,absent
Pneumothorax,is,absent
Costophrenic XXXX,show,mild blunting bilaterally
Congestive heart failure,associated with,basilar pulmonary interstitial edema
Congestive heart failure,associated with,bilateral pleural fluid
Heart,is,large
Pulmonary XXXX,are,engorged
Bibasilar interstitial infiltrates,are,present
Bilateral costophrenic XXXX blunting,is,present
Cardiomegaly,is,present
Vascular congestion,is,present
Interstitial edema,is,probable mild
Bibasilar airspace disease,is,present
Bilateral pleural effusions,are,present
Right pleural effusion,is,greater than left
Cardiomegaly,is,stable
Pulmonary vascular congestion,is,XXXX
Interstitial edema,is,probable mild
Pneumothorax,is,absent
Acute bony findings,are,absent
Loculated right pleural fusion,is,unchanged
Chronic interstitial lung disease,shows,no change
Left effusion,is,XXXX in left lateral costophrenic recess
Left lung base airspace disease,is,minimal residual
Heart size,is,stable
Heart,is,moderately enlarged
Aorta,is,tortuous calcified
Right lung,is,clear
Cardiomegaly,is,present without overt heart failure
Right pleural effusion,is,small
Right pleural effusion,shows,no change
Left base airspace disease,shows,clearing
Right lung airspace disease,shows,improvement
Central venous line,has been,removed
Inflammatory defibrillator,is,noted
Heart,is,enlarged
Patient,is status post,XXXX sternotomy
Right pleural effusion,is,present
Right pleural effusion,is,unchanged
Pneumothorax,is,absent
Left base airspace disease,shows,clearing
Right lung opacities,are,continued
Right lung opacities,may represent,areas of scarring
Left lung,is,clear
Cardiomegaly,is,slight
Right effusion,is,present
Right lower lobe infiltrate,is,present
Right hemithorax,shows,two air-fluid levels
Air-fluid levels,most XXXX representing,hydropneumothorax
Air-fluid levels,could represent,empyema with bronchopleural fistula
CT scan with IV contrast,may be,helpful
Left pleural effusion,is,large
Left lung aeration,is,minimal residual
Right pleural effusion,is,small
Right lung,shows,bronchovascular crowding
Right lung,shows,indistinct vascular margination
Bronchovascular crowding,may be secondary to,crowding
Bronchovascular crowding,may be secondary to,infiltrates
Bronchovascular crowding,may be secondary to,pulmonary edema
Heart size assessment,is,limited
Heart XXXX,is,obscured
Left pleural effusion,is present with,adjacent atelectasis
Right effusion,is,XXXX
Cardiomegaly,is present without,overt edema
Cardiac silhouette,is,enlarged
Cardiac silhouette,is,unchanged
Left-sided XXXX central line,is present with,XXXX lumen
Poly vasculature,is,within normal limits
Lung volumes,are,low
Bilateral pleural effusions,are,present
Left pleural effusion,is,larger than right
Bibasilar opacities,are,present
Bibasilar opacities,may represent,atelectasis
Bibasilar opacities,may represent,consolidation
Cardiomediastinal silhouette,is,enlarged
Cardiomediastinal silhouette,is,stable
Pulmonary vasculature,is,prominent
Pulmonary vasculature,is,consistent with CHF
Left-sided central venous catheter,is,in place
Left-sided central venous catheter,terminates in,superior vena cava
Pneumothorax,is,not seen
Cardiomegaly,is,present
Pulmonary edema,is,present
Bilateral pleural effusions,are,present
Right pleural effusion,is,larger
Left lung base,shows,atelectasis
Cardiomediastinal silhouette,is,enlarged
Pulmonary vasculature,is,engorged
Bilateral pleural effusions,are,present
Right pleural effusion,is,larger than left
Bibasilar opacities,are,present
Bibasilar opacities,may represent,atelectasis
Bibasilar opacities,may represent,consolidation
Left-sided central venous catheter,is,in place
Left-sided central venous catheter,terminates in,superior vena cava
Pneumothorax,is,not seen
Heart size,is,enlarged
Mediastinal contours,are,within normal limits
Pulmonary vasculature,is,prominent
Bilateral pleural effusions,are,present
Right pleural effusion,is,larger than left
Bibasilar opacities,are,present
Bibasilar opacities,may represent,atelectasis
Bibasilar opacities,may represent,consolidation
Left-sided central venous catheter,is,in place
Left-sided central venous catheter,terminates in,superior vena cava
Pneumothorax,is,not seen
Cardiomegaly,is,present
Pulmonary edema,is,present
Bilateral pleural effusions,are,present
Right pleural effusion,is,larger
Left lung base,shows,atelectasis
Cardiomediastinal silhouette,is,enlarged
Pulmonary vasculature,is,engorged
Bilateral pleural effusions,are,present
Right pleural effusion,is,larger than left
Bibasilar opacities,are,present
Bibasilar opacities,may represent,atelectasis
Bibasilar opacities,may represent,consolidation
Left-sided central venous catheter,is,in place
Left-sided central venous catheter,terminates in,superior vena cava
Pneumothorax,is,not seen
Heart size,is,enlarged
Mediastinal contours,are,within normal limits
Pulmonary vasculature,is,prominent
Bilateral pleural effusions,are,present
Right pleural effusion,is,larger than left
Bibasilar opacities,are,present
Bibasilar opacities,may represent,atelectasis
Bibasilar opacities,may represent,consolidation
Left-sided central venous catheter,is,in place
Left-sided central venous catheter,terminates in,superior vena cava
Pneumothorax,is,not seen
Cardiomegaly,is,present
Pulmonary edema,is,present
Bilateral pleural effusions,are,present
Right pleural effusion,is,larger
Left lung base,shows,atelectasis
Cardiomediastinal silhouette,is,enlarged
Pulmonary vasculature,is,engorged
Bilateral pleural effusions,are,present
Right pleural effusion,is,larger than left
Bibasilar opacities,are,present
Bibasilar opacities,may represent,atelectasis
Bibasilar opacities,may represent,consolidation
Left-sided central venous catheter,is,in place
Left-sided central venous catheter,terminates in,superior vena cava
Pneumothorax,is,not seen
Heart size,is,enlarged
Mediastinal contours,are,within normal limits
Pulmonary vasculature,is,prominent
Bilateral pleural effusions,are,present
Right pleural effusion,is,larger than left
Bibasilar opacities,are,present
Bibasilar opacities,may represent,atelectasis
Bibasilar opacities,may represent,consolidation
Left-sided central venous catheter,is,in place
Left-sided central venous catheter,terminates in,superior vena cava
Pneumothorax,is,not seen
Cardiomegaly,is,present
Pulmonary edema,is,present
Bilateral pleural effusions,are,present
Right pleural effusion,is,larger
Left lung base,shows,atelectasis
Cardiomediastinal silhouette,is,enlarged
Pulmonary vasculature,is,engorged
Bilateral pleural effusions,are,present
Right pleural effusion,is,larger than left
