lEntity,Rela,rEntity,type,le,re,rela,cls
atelectasis,appearance,bibasilar,Lung_hypoinflation,54,361,5,6
atelectasis,appearance,left base,Lung_hypoinflation,54,474,5,6
atelectasis,appearance,right base,Lung_hypoinflation,54,206,5,6
osteopenia,appearance,spine,Lung_hypoinflation,773,338,5,6
osteopenia,appearance,ribs,Lung_hypoinflation,773,251,5,6
scoliosis,appearance,thoracic spine,Lung_hypoinflation,213,164,5,6
scoliosis,severity,mild,Lung_hypoinflation,213,280,9,6
calcified lymph nodes,appearance,hilar,Lung_hypoinflation,29,219,5,6
calcified lymph nodes,appearance,mediastinal,Lung_hypoinflation,29,63,5,6
pulmonary fibrosis,status,present,Lung_hypoinflation,188,226,7,6
pulmonary fibrosis,appearance,bilateral,Lung_hypoinflation,188,594,5,6
pleural thickening,appearance,apical,Lung_hypoinflation,295,137,5,6
pleural thickening,appearance,right,Lung_hypoinflation,295,683,5,6
pleural thickening,appearance,left,Lung_hypoinflation,295,244,5,6
cardiomegaly,status,present,Lung_hypoinflation,590,226,7,6
atherosclerosis,appearance,aorta,Lung_hypoinflation,4,336,5,6
atherosclerosis,severity,moderate,Lung_hypoinflation,4,612,9,6
emphysema,associate,lung changes,Lung_hypoinflation,371,202,8,6
emphysema,appearance,upper lobes,Lung_hypoinflation,371,656,5,6
bronchial wall thickening,status,present,Lung_hypoinflation,416,226,7,6
bronchial wall thickening,appearance,diffuse,Lung_hypoinflation,416,568,5,6
interstitial markings,appearance,bilateral,Lung_hypoinflation,526,594,5,6
interstitial markings,appearance,increased,Lung_hypoinflation,526,347,5,6
kyphosis,appearance,thoracic spine,Lung_hypoinflation,417,164,5,6
kyphosis,severity,mild,Lung_hypoinflation,417,280,9,6
pectus excavatum,status,present,Lung_hypoinflation,132,226,7,6
pectus carinatum,status,present,Lung_hypoinflation,795,226,7,6
diaphragm,appearance,elevated,Lung_hypoinflation,471,118,5,6
diaphragm,appearance,normal,Lung_hypoinflation,471,134,5,6
trachea,appearance,midline,Lung_hypoinflation,20,380,5,6
trachea,appearance,deviated,Lung_hypoinflation,20,707,5,6
costophrenic angles,appearance,sharp,Lung_hypoinflation,476,190,5,6
costophrenic angles,appearance,blunted,Lung_hypoinflation,476,713,5,6
bony structures,appearance,intact,Lung_hypoinflation,632,813,5,6
bony structures,appearance,degenerative changes,Lung_hypoinflation,632,66,5,6
soft tissues,appearance,normal,Lung_hypoinflation,744,134,5,6
soft tissues,appearance,swelling,Lung_hypoinflation,744,725,5,6
calcified granuloma,associate,previous infection,Lung_hypoinflation,382,310,8,6
calcified granuloma,associate,tuberculosis,Lung_hypoinflation,382,401,8,6
calcified granuloma,associate,histoplasmosis,Lung_hypoinflation,382,482,8,6
calcified granuloma,clinical significance,benign,Lung_hypoinflation,382,442,10,6
calcified granuloma,clinical significance,requires monitoring,Lung_hypoinflation,382,745,10,6
calcified granuloma,differential diagnosbe,includes malignancy,Lung_hypoinflation,382,119,11,6
calcified granuloma,differential diagnosbe,includes sarcoidosis,Lung_hypoinflation,382,520,11,6
calcified granuloma,differential diagnosbe,includes fungal infection,Lung_hypoinflation,382,399,11,6
pulmonary arteries,appearance,normal,Lung_hypoinflation,487,134,5,6
pulmonary arteries,appearance,enlarged,Lung_hypoinflation,487,140,5,6
bronchi,appearance,normal,Lung_hypoinflation,749,134,5,6
bronchi,appearance,thickened walls,Lung_hypoinflation,749,214,5,6
lung volumes,status,normal,Lung_hypoinflation,502,134,7,6
lung volumes,status,decreased,Lung_hypoinflation,502,624,7,6
lung volumes,status,increased,Lung_hypoinflation,502,347,7,6
pleural plaques,status,present,Lung_hypoinflation,578,226,7,6
pleural plaques,appearance,bilateral,Lung_hypoinflation,578,594,5,6
pleural plaques,associate,asbestos exposure,Lung_hypoinflation,578,546,8,6
air bronchograms,status,present,Lung_hypoinflation,180,226,7,6
air bronchograms,appearance,right lower lobe,Lung_hypoinflation,180,56,5,6
air bronchograms,associate,pneumonia,Lung_hypoinflation,180,48,8,6
cardiomediastinal silhouette,appearance,normal,Lung_hypoinflation,692,134,5,6
cardiomediastinal silhouette,appearance,enlarged,Lung_hypoinflation,692,140,5,6
calcified granuloma,associate,none,Lung_hypoinflation,382,249,8,6
calcified granuloma,associate,surrounding inflammation,Lung_hypoinflation,382,540,8,6
lungs,status,clear,Lung_hypoinflation,448,658,7,6
lungs,status,expanded,Lung_hypoinflation,448,780,7,6
infiltrates,presence,no,Lung_hypoinflation,720,587,12,6
atelectasis,appearance,lingula,Lung_hypoinflation,54,100,5,6
heart size,status,normal,Lung_hypoinflation,55,134,7,6
calcified granuloma,appearance,right hilar,Lung_hypoinflation,382,333,5,6
lungs,status,hyperinflated,Lung_hypoinflation,448,40,7,6
pulmonary vasculature,status,normal,Lung_hypoinflation,80,134,7,6
pleural effusion,presence,no,Lung_hypoinflation,354,587,12,6
pneumothorax,presence,no,Lung_hypoinflation,160,587,12,6
calcified granuloma,appearance,left midlung,Lung_hypoinflation,382,591,5,6
calcified lymph nodes,appearance,left hilar,Lung_hypoinflation,29,714,5,6
calcified lymph nodes,appearance,mediastinal,Lung_hypoinflation,29,63,5,6
aorta,status,tortuous,Lung_hypoinflation,336,432,7,6
aorta,status,calcified,Lung_hypoinflation,336,494,7,6
spine,condition,degenerative changes,Lung_hypoinflation,338,66,6,6
ribs,condition,no acute fractures,Lung_hypoinflation,251,486,6,6
calcified granuloma,appearance,left upper lobe,Lung_hypoinflation,382,254,5,6
calcified granuloma,appearance,left lower lobe,Lung_hypoinflation,382,425,5,6
calcified granuloma,size,small,Lung_hypoinflation,382,724,2,6
calcified granuloma,size,large,Lung_hypoinflation,382,447,2,6
calcified granuloma,number,multiple,Lung_hypoinflation,382,292,13,6
calcified granuloma,number,single,Lung_hypoinflation,382,223,13,6
calcified granuloma,stability,stable,Lung_hypoinflation,382,461,14,6
calcified granuloma,stability,unchanged,Lung_hypoinflation,382,286,14,6
calcified lymph nodes,size,small,Lung_hypoinflation,29,724,2,6
calcified lymph nodes,size,large,Lung_hypoinflation,29,447,2,6
calcified lymph nodes,number,multiple,Lung_hypoinflation,29,292,13,6
calcified lymph nodes,number,single,Lung_hypoinflation,29,223,13,6
calcified lymph nodes,stability,stable,Lung_hypoinflation,29,461,14,6
calcified lymph nodes,stability,unchanged,Lung_hypoinflation,29,286,14,6
heart,size,enlarged,Lung_hypoinflation,351,140,2,6
heart,size,normal,Lung_hypoinflation,351,134,2,6
lungs,condition,emphysema,Lung_hypoinflation,448,371,6,6
lungs,condition,COPD,Lung_hypoinflation,448,706,6,6
retrosternal space,status,increased,Lung_hypoinflation,358,347,7,6
pulmonary edema,presence,no,Lung_hypoinflation,337,587,12,6
pulmonary edema,presence,yes,Lung_hypoinflation,337,577,12,6
consolidation,presence,no,Lung_hypoinflation,804,587,12,6
consolidation,presence,yes,Lung_hypoinflation,804,577,12,6
atelectasis,appearance,bibasilar,Lung_hypoinflation,54,361,5,6
pleural thickening,appearance,left lateral,Lung_hypoinflation,295,576,5,6
pleural thickening,appearance,right lateral,Lung_hypoinflation,295,531,5,6
sternotomy wires,presence,yes,Lung_hypoinflation,684,577,12,6
aortic valve,status,prosthetic,Lung_hypoinflation,252,750,7,6
CABG,represent,clips,Lung_hypoinflation,726,604,15,6
CABG,represent,markers,Lung_hypoinflation,726,660,15,6
coronary artery,represent,stents,Lung_hypoinflation,458,207,15,6
lung volumes,status,low,Lung_hypoinflation,502,253,7,6
scoliosis,appearance,thoracolumbar,Lung_hypoinflation,213,304,5,6
osteophytes,appearance,thoracic spine,Lung_hypoinflation,303,164,5,6
fracture,appearance,right humeral,Lung_hypoinflation,341,585,5,6
fracture,status,fixation,Lung_hypoinflation,341,217,7,6
bone density,status,osteopenia,Lung_hypoinflation,588,773,7,6
clavicle,condition,old fracture,Lung_hypoinflation,360,248,6,6
pulmonary arteries,status,prominent,Lung_hypoinflation,487,637,7,6
costophrenic angles,status,blunted,Lung_hypoinflation,476,713,7,6
airspace disease,appearance,right basilar,Lung_hypoinflation,352,121,5,6
pleural plaques,presence,yes,Lung_hypoinflation,578,577,12,6
pleural plaques,associate,asbestos exposure,Lung_hypoinflation,578,546,8,6
calcified granuloma,differential diagnosbe,tuberculosis,Lung_hypoinflation,382,401,11,6
calcified granuloma,differential diagnosbe,histoplasmosis,Lung_hypoinflation,382,482,11,6
calcified granuloma,clinical significance,benign,Lung_hypoinflation,382,442,10,6
calcified granuloma,clinical significance,requires monitoring,Lung_hypoinflation,382,745,10,6
hiatus hernia,size,moderate,Lung_hypoinflation,227,612,2,6
nodule,appearance,left lower lobe,Lung_hypoinflation,276,425,5,6
nodule,size,22 x 14 mm,Lung_hypoinflation,276,736,2,6
nodule,appearance,calcified,Lung_hypoinflation,276,494,5,6
interstitial markings,status,increased,Lung_hypoinflation,526,347,7,6
aorta,condition,aneurysm,Lung_hypoinflation,336,438,6,6
aorta,appearance,descending thoracic,Lung_hypoinflation,336,740,5,6
lymph nodes,calcification,right paratracheal,Lung_hypoinflation,512,717,16,6
lymph nodes,calcification,right hilar,Lung_hypoinflation,512,333,16,6
lymph nodes,calcification,left hilar,Lung_hypoinflation,512,714,16,6
lymph nodes,calcification,subcarinal,Lung_hypoinflation,512,109,16,6
lymph nodes,calcification,mediastinal,Lung_hypoinflation,512,63,16,6
granuloma,appearance,right upper lobe,Lung_hypoinflation,507,413,5,6
granuloma,appearance,right lower lobe,Lung_hypoinflation,507,56,5,6
granuloma,appearance,left upper lobe,Lung_hypoinflation,507,254,5,6
granuloma,appearance,left lower lobe,Lung_hypoinflation,507,425,5,6
granuloma,size,small,Lung_hypoinflation,507,724,2,6
granuloma,size,large,Lung_hypoinflation,507,447,2,6
granuloma,number,multiple,Lung_hypoinflation,507,292,13,6
granuloma,number,single,Lung_hypoinflation,507,223,13,6
granuloma,stability,stable,Lung_hypoinflation,507,461,14,6
granuloma,stability,unchanged,Lung_hypoinflation,507,286,14,6
pleural effusion,size,small,Lung_hypoinflation,354,724,2,6
pleural effusion,size,moderate,Lung_hypoinflation,354,612,2,6
azygos fissure,presence,yes,Lung_hypoinflation,635,577,12,6
azygos fissure,clinical significance,normal variant,Lung_hypoinflation,635,123,10,6
cardiac defibrillator,appearance,right ventricle,Lung_hypoinflation,259,737,5,6
splenic granulomas,presence,multiple,Lung_hypoinflation,98,292,12,6
splenic granulomas,appearance,calcified,Lung_hypoinflation,98,494,5,6
vertebral body,condition,compression fracture,Lung_hypoinflation,628,729,6,6
vertebral body,appearance,thoracic,Lung_hypoinflation,628,197,5,6
pacemaker,presence,yes,Lung_hypoinflation,680,577,12,6
pacemaker,appearance,right chest wall,Lung_hypoinflation,680,543,5,6
bronchial wall thickening,presence,yes,Lung_hypoinflation,416,577,12,6
bronchial wall thickening,associate,chronic bronchitis,Lung_hypoinflation,416,743,8,6
pulmonary hypertension,represent,enlarged pulmonary arteries,Lung_hypoinflation,172,289,15,6
pulmonary hypertension,represent,right ventricular enlargement,Lung_hypoinflation,172,651,15,6
calcified granuloma,differential diagnosbe,old empyema,Lung_hypoinflation,382,466,11,6
calcified granuloma,differential diagnosbe,old hematoma,Lung_hypoinflation,382,449,11,6
calcified granuloma,differential diagnosbe,prior tuberculosis,Lung_hypoinflation,382,529,11,6
calcified granuloma,appearance,left paraesophageal,Lung_hypoinflation,382,671,5,6
calcified granuloma,appearance,intrapulmonary,Lung_hypoinflation,382,727,5,6
thoracic aorta,condition,ectasia,Lung_hypoinflation,256,334,6,6
thoracic aorta,condition,tortuosity,Lung_hypoinflation,256,282,6,6
mitral valve,condition,annular calcification,Lung_hypoinflation,676,199,6,6
epicardial fat pads,status,prominent,Lung_hypoinflation,321,637,7,6
thoracic spine,condition,DISH,Lung_hypoinflation,164,545,6,6
hemidiaphragm,condition,tenting,Lung_hypoinflation,241,105,6,6
hemidiaphragm,appearance,right lateral,Lung_hypoinflation,241,531,5,6
pleural thickening,appearance,left apical,Lung_hypoinflation,295,152,5,6
T12-L1 vertebrae,condition,possible old injury,Lung_hypoinflation,184,331,6,6
T12-L1 vertebrae,condition,possible developmental anomaly,Lung_hypoinflation,184,575,6,6
granulomatous disease,represent,calcified lymph nodes,Lung_hypoinflation,470,29,15,6
granulomatous disease,represent,calcified lung nodules,Lung_hypoinflation,470,715,15,6
granulomatous disease,cause,histoplasmosis,Lung_hypoinflation,470,482,17,6
granulomatous disease,cause,tuberculosis,Lung_hypoinflation,470,401,17,6
granulomatous disease,cause,sarcoidosis,Lung_hypoinflation,470,475,17,6
pulmonary sarcoidosis,represent,indistinct pulmonary interstitium,Lung_hypoinflation,537,129,15,6
pulmonary sarcoidosis,represent,parenchymal nodules,Lung_hypoinflation,537,221,15,6
pulmonary edema,represent,bronchovascular crowding,Lung_hypoinflation,337,225,15,6
pulmonary edema,represent,cephalization of vessels,Lung_hypoinflation,337,189,15,6
asbestos exposure,represent,pleural plaques,Lung_hypoinflation,546,578,15,6
chronic lung disease,represent,hyperinflation,Lung_hypoinflation,705,694,15,6
chronic lung disease,represent,coarsened interstitial markings,Lung_hypoinflation,705,511,15,6
chronic lung disease,type,COPD,Lung_hypoinflation,705,706,18,6
chronic lung disease,type,emphysema,Lung_hypoinflation,705,371,18,6
cardiomegaly,severity,mild,Lung_hypoinflation,590,280,9,6
cardiomegaly,stability,stable,Lung_hypoinflation,590,461,14,6
vascular congestion,appearance,central,Lung_hypoinflation,762,305,5,6
lung volumes,status,low,Lung_hypoinflation,502,253,7,6
left hemidiaphragm,status,elevated,Lung_hypoinflation,64,118,7,6
atelectasis,appearance,basilar,Lung_hypoinflation,54,316,5,6
atelectasis,type,subsegmental,Lung_hypoinflation,54,87,18,6
heart,size,enlarged,Lung_hypoinflation,351,140,2,6
mediastinal contours,status,stable,Lung_hypoinflation,453,461,7,6
pulmonary vascularity,status,normal,Lung_hypoinflation,716,134,7,6
pleural effusion,presence,no,Lung_hypoinflation,354,587,12,6
pneumothorax,presence,no,Lung_hypoinflation,160,587,12,6
consolidation,presence,no,Lung_hypoinflation,804,587,12,6
aorta,condition,tortuous,Lung_hypoinflation,336,432,6,6
aorta,condition,calcified,Lung_hypoinflation,336,494,6,6
spine,condition,degenerative changes,Lung_hypoinflation,338,66,6,6
interstitial markings,status,increased,Lung_hypoinflation,526,347,7,6
pulmonary edema,presence,possible,Lung_hypoinflation,337,130,12,6
hiatal hernia,presence,yes,Lung_hypoinflation,433,577,12,6
hiatal hernia,size,moderate,Lung_hypoinflation,433,612,2,6
sternotomy,presence,yes,Lung_hypoinflation,181,577,12,6
sternotomy wires,status,intact,Lung_hypoinflation,684,813,7,6
pacemaker,presence,yes,Lung_hypoinflation,680,577,12,6
pacemaker,appearance,left chest wall,Lung_hypoinflation,680,193,5,6
ICD,presence,yes,Lung_hypoinflation,459,577,12,6
ICD,appearance,left chest,Lung_hypoinflation,459,397,5,6
lung granuloma,presence,yes,Lung_hypoinflation,488,577,12,6
lung granuloma,appearance,right base,Lung_hypoinflation,488,206,5,6
lung granuloma,type,calcified,Lung_hypoinflation,488,494,18,6
pleural thickening,presence,yes,Lung_hypoinflation,295,577,12,6
pleural thickening,appearance,left apical,Lung_hypoinflation,295,152,5,6
hemidiaphragm,condition,elevated,Lung_hypoinflation,241,118,6,6
hemidiaphragm,appearance,right,Lung_hypoinflation,241,683,5,6
COPD,represent,hyperinflated lungs,Lung_hypoinflation,706,356,15,6
pulmonary hypertension,represent,enlarged pulmonary arteries,Lung_hypoinflation,172,289,15,6
pulmonary hypertension,represent,right ventricular enlargement,Lung_hypoinflation,172,651,15,6
atrial enlargement,appearance,right,Lung_hypoinflation,88,683,5,6
atrial enlargement,appearance,left,Lung_hypoinflation,88,244,5,6
ventricular enlargement,appearance,right,Lung_hypoinflation,489,683,5,6
thoracic aorta,condition,ectasia,Lung_hypoinflation,256,334,6,6
thoracic aorta,condition,atherosclerosis,Lung_hypoinflation,256,4,6,6
mitral valve,condition,annular calcification,Lung_hypoinflation,676,199,6,6
aortic valve,status,prosthetic,Lung_hypoinflation,252,750,7,6
coronary artery,presence,stents,Lung_hypoinflation,458,207,12,6
lung volumes,status,hyperexpanded,Lung_hypoinflation,502,765,7,6
interstitial lung disease,presence,possible,Lung_hypoinflation,61,130,12,6
pulmonary fibrosis,presence,possible,Lung_hypoinflation,188,130,12,6
azygos fissure,presence,yes,Lung_hypoinflation,635,577,12,6
azygos fissure,clinical significance,normal variant,Lung_hypoinflation,635,123,10,6
lung nodule,presence,yes,Lung_hypoinflation,13,577,12,6
lung nodule,appearance,left upper lobe,Lung_hypoinflation,13,254,5,6
lung nodule,size,2.2 x 1.6 cm,Lung_hypoinflation,13,155,2,6
pleural effusion,appearance,bilateral,Lung_hypoinflation,354,594,5,6
pleural effusion,size,small,Lung_hypoinflation,354,724,2,6
pulmonary edema,type,interstitial,Lung_hypoinflation,337,215,18,6
pulmonary edema,severity,mild,Lung_hypoinflation,337,280,9,6
atelectasis,appearance,bibasilar,Lung_hypoinflation,54,361,5,6
atelectasis,appearance,left lower lobe,Lung_hypoinflation,54,425,5,6
atelectasis,appearance,right middle lobe,Lung_hypoinflation,54,778,5,6
pulmonary vascular congestion,presence,yes,Lung_hypoinflation,597,577,12,6
pulmonary vascular congestion,severity,mild,Lung_hypoinflation,597,280,9,6
airspace disease,appearance,bilateral,Lung_hypoinflation,352,594,5,6
airspace disease,appearance,bibasilar,Lung_hypoinflation,352,361,5,6
airspace disease,type,patchy,Lung_hypoinflation,352,312,18,6
thoracic spine,condition,kyphosis,Lung_hypoinflation,164,417,6,6
thoracic spine,condition,scoliosis,Lung_hypoinflation,164,213,6,6
thoracic spine,condition,degenerative changes,Lung_hypoinflation,164,66,6,6
rib fracture,presence,old,Lung_hypoinflation,685,243,12,6
rib fracture,appearance,right,Lung_hypoinflation,685,683,5,6
shoulder,condition,degenerative changes,Lung_hypoinflation,287,66,6,6
shoulder,appearance,bilateral,Lung_hypoinflation,287,594,5,6
clavicle,condition,resection,Lung_hypoinflation,360,384,6,6
clavicle,appearance,left distal,Lung_hypoinflation,360,47,5,6
hilar lymph node,condition,calcified,Lung_hypoinflation,571,494,6,6
hilar lymph node,appearance,right,Lung_hypoinflation,571,683,5,6
mediastinal lymph node,condition,calcified,Lung_hypoinflation,381,494,6,6
pericardial effusion,presence,possible,Lung_hypoinflation,722,130,12,6
pericardial fat pad,status,prominent,Lung_hypoinflation,158,637,7,6
epicardial fat pad,status,prominent,Lung_hypoinflation,79,637,7,6
diaphragm,condition,eventration,Lung_hypoinflation,471,343,6,6
diaphragm,appearance,right,Lung_hypoinflation,471,683,5,6
tracheostomy tube,presence,yes,Lung_hypoinflation,611,577,12,6
tracheostomy tube,appearance,above carina,Lung_hypoinflation,611,339,5,6
central venous catheter,presence,yes,Lung_hypoinflation,299,577,12,6
central venous catheter,appearance,right internal jugular,Lung_hypoinflation,299,68,5,6
PICC line,presence,yes,Lung_hypoinflation,751,577,12,6
PICC line,appearance,right upper extremity,Lung_hypoinflation,751,44,5,6
dialysis catheter,presence,yes,Lung_hypoinflation,150,577,12,6
dialysis catheter,type,dual-lumen,Lung_hypoinflation,150,414,18,6
aortic aneurysm,appearance,ascending,Lung_hypoinflation,424,747,5,6
aortic aneurysm,presence,known,Lung_hypoinflation,424,135,12,6
breast implants,presence,yes,Lung_hypoinflation,335,577,12,6
breast implants,type,calcified,Lung_hypoinflation,335,494,18,6
mastectomy,appearance,right,Lung_hypoinflation,0,683,5,6
lung scarring,presence,yes,Lung_hypoinflation,584,577,12,6
lung scarring,appearance,left base,Lung_hypoinflation,584,474,5,6
lung scarring,appearance,right upper lobe,Lung_hypoinflation,584,413,5,6
granulomatous disease,represent,calcified lymph nodes,Lung_hypoinflation,470,29,15,6
heart,size,normal,Lung_hypoinflation,351,134,2,6
heart,size,enlarged,Lung_hypoinflation,351,140,2,6
heart,size,mildly enlarged,Lung_hypoinflation,351,407,2,6
heart,size,borderline,Lung_hypoinflation,351,698,2,6
heart,size,upper normal,Lung_hypoinflation,351,28,2,6
heart,size,within normal limits,Lung_hypoinflation,351,454,2,6
lungs,condition,clear,Lung_hypoinflation,448,658,6,6
lungs,condition,hyperinflated,Lung_hypoinflation,448,40,6,6
lungs,condition,emphysematous,Lung_hypoinflation,448,284,6,6
lungs,condition,well-aerated,Lung_hypoinflation,448,174,6,6
lungs,condition,hypoinflated,Lung_hypoinflation,448,695,6,6
pleural effusion,presence,no,Lung_hypoinflation,354,587,12,6
pleural effusion,presence,small,Lung_hypoinflation,354,724,12,6
pleural effusion,presence,minimal,Lung_hypoinflation,354,533,12,6
pneumothorax,presence,no,Lung_hypoinflation,160,587,12,6
scarring,appearance,biapical,Lung_hypoinflation,704,323,5,6
scarring,appearance,left base,Lung_hypoinflation,704,474,5,6
scarring,appearance,right base,Lung_hypoinflation,704,206,5,6
scarring,appearance,bilateral base,Lung_hypoinflation,704,246,5,6
scarring,appearance,left upper lobe,Lung_hypoinflation,704,254,5,6
scarring,appearance,right upper lobe,Lung_hypoinflation,704,413,5,6
scarring,appearance,lingula,Lung_hypoinflation,704,100,5,6
atelectasis,appearance,left base,Lung_hypoinflation,54,474,5,6
atelectasis,appearance,right base,Lung_hypoinflation,54,206,5,6
atelectasis,appearance,bilateral base,Lung_hypoinflation,54,246,5,6
consolidation,presence,no,Lung_hypoinflation,804,587,12,6
consolidation,appearance,right upper lobe,Lung_hypoinflation,804,413,5,6
consolidation,appearance,left lower lobe,Lung_hypoinflation,804,425,5,6
granuloma,type,calcified,Lung_hypoinflation,507,494,18,6
granuloma,appearance,right hilum,Lung_hypoinflation,507,273,5,6
granuloma,appearance,left lower lobe,Lung_hypoinflation,507,425,5,6
aorta,condition,tortuous,Lung_hypoinflation,336,432,6,6
aorta,condition,calcified,Lung_hypoinflation,336,494,6,6
aorta,condition,ectatic,Lung_hypoinflation,336,22,6,6
aorta,condition,atherosclerotic,Lung_hypoinflation,336,330,6,6
mediastinum,appearance,normal,Lung_hypoinflation,469,134,5,6
mediastinum,appearance,unremarkable,Lung_hypoinflation,469,504,5,6
COPD,presence,yes,Lung_hypoinflation,706,577,12,6
emphysema,presence,yes,Lung_hypoinflation,371,577,12,6
emphysema,severity,severe,Lung_hypoinflation,371,532,9,6
pulmonary vasculature,appearance,normal,Lung_hypoinflation,80,134,5,6
pulmonary vasculature,appearance,prominent,Lung_hypoinflation,80,637,5,6
rib fracture,presence,old,Lung_hypoinflation,685,243,12,6
rib fracture,appearance,left 9th,Lung_hypoinflation,685,145,5,6
spine,condition,degenerative changes,Lung_hypoinflation,338,66,6,6
spine,condition,scoliosis,Lung_hypoinflation,338,213,6,6
spine,condition,osteophytes,Lung_hypoinflation,338,303,6,6
pacemaker,presence,yes,Lung_hypoinflation,680,577,12,6
pacemaker,appearance,left chest wall,Lung_hypoinflation,680,193,5,6
hiatal hernia,presence,yes,Lung_hypoinflation,433,577,12,6
lung volumes,condition,low,Lung_hypoinflation,502,253,6,6
airspace disease,appearance,right upper lobe,Lung_hypoinflation,352,413,5,6
airspace disease,appearance,left lower lobe,Lung_hypoinflation,352,425,5,6
pleural thickening,appearance,left apex,Lung_hypoinflation,295,779,5,6
pleural thickening,appearance,right apex,Lung_hypoinflation,295,167,5,6
bronchiectasis,presence,yes,Lung_hypoinflation,493,577,12,6
bronchiectasis,cause,cystic fibrosis,Lung_hypoinflation,493,403,17,6
tuberculosis,status,previous,Lung_hypoinflation,401,169,7,6
cardiomegaly,presence,yes,Lung_hypoinflation,590,577,12,6
cardiomegaly,severity,mild,Lung_hypoinflation,590,280,9,6
lung mass,appearance,left lung base,Lung_hypoinflation,112,186,5,6
AICD,presence,yes,Lung_hypoinflation,261,577,12,6
AICD,appearance,left chest wall,Lung_hypoinflation,261,193,5,6
central venous catheter,presence,yes,Lung_hypoinflation,299,577,12,6
central venous catheter,appearance,right jugular,Lung_hypoinflation,299,559,5,6
CABG,status,post,Lung_hypoinflation,726,622,7,6
mitral valve,status,post surgery,Lung_hypoinflation,676,126,7,6
sternotomy,status,post,Lung_hypoinflation,181,622,7,6
lungs,condition,hyperaerated,Lung_hypoinflation,448,142,6,6
lungs,condition,hyperexpanded,Lung_hypoinflation,448,765,6,6
lungs,condition,hyperinflated,Lung_hypoinflation,448,40,6,6
lungs,condition,clear,Lung_hypoinflation,448,658,6,6
lungs,condition,emphysematous,Lung_hypoinflation,448,284,6,6
heart,size,normal,Lung_hypoinflation,351,134,2,6
heart,size,mildly enlarged,Lung_hypoinflation,351,407,2,6
heart,size,borderline,Lung_hypoinflation,351,698,2,6
mediastinum,appearance,unremarkable,Lung_hypoinflation,469,504,5,6
mediastinum,appearance,normal,Lung_hypoinflation,469,134,5,6
aorta,condition,tortuous,Lung_hypoinflation,336,432,6,6
aorta,condition,calcified,Lung_hypoinflation,336,494,6,6
aorta,condition,ectatic,Lung_hypoinflation,336,22,6,6
aorta,condition,atherosclerotic,Lung_hypoinflation,336,330,6,6
diaphragm,condition,flattened,Lung_hypoinflation,471,232,6,6
pleural effusion,presence,no,Lung_hypoinflation,354,587,12,6
pleural effusion,presence,small,Lung_hypoinflation,354,724,12,6
pneumothorax,presence,no,Lung_hypoinflation,160,587,12,6
pulmonary vasculature,appearance,normal,Lung_hypoinflation,80,134,5,6
pulmonary vasculature,appearance,prominent,Lung_hypoinflation,80,637,5,6
emphysema,presence,yes,Lung_hypoinflation,371,577,12,6
emphysema,severity,mild,Lung_hypoinflation,371,280,9,6
emphysema,severity,severe,Lung_hypoinflation,371,532,9,6
COPD,presence,yes,Lung_hypoinflation,706,577,12,6
consolidation,presence,no,Lung_hypoinflation,804,587,12,6
consolidation,appearance,right middle lobe,Lung_hypoinflation,804,778,5,6
consolidation,appearance,right upper lobe,Lung_hypoinflation,804,413,5,6
granuloma,type,calcified,Lung_hypoinflation,507,494,18,6
granuloma,appearance,right hilum,Lung_hypoinflation,507,273,5,6
granuloma,appearance,left upper lobe,Lung_hypoinflation,507,254,5,6
atelectasis,appearance,bibasilar,Lung_hypoinflation,54,361,5,6
atelectasis,appearance,left base,Lung_hypoinflation,54,474,5,6
atelectasis,appearance,right base,Lung_hypoinflation,54,206,5,6
scarring,appearance,biapical,Lung_hypoinflation,704,323,5,6
scarring,appearance,left base,Lung_hypoinflation,704,474,5,6
scarring,appearance,right base,Lung_hypoinflation,704,206,5,6
spine,condition,degenerative changes,Lung_hypoinflation,338,66,6,6
spine,condition,scoliosis,Lung_hypoinflation,338,213,6,6
spine,condition,kyphosis,Lung_hypoinflation,338,417,6,6
rib,condition,fracture,Lung_hypoinflation,711,341,6,6
rib,appearance,left,Lung_hypoinflation,711,244,5,6
rib,appearance,right,Lung_hypoinflation,711,683,5,6
pacemaker,presence,yes,Lung_hypoinflation,680,577,12,6
pacemaker,appearance,left chest wall,Lung_hypoinflation,680,193,5,6
AICD,presence,yes,Lung_hypoinflation,261,577,12,6
AICD,appearance,left chest wall,Lung_hypoinflation,261,193,5,6
cardiomegaly,presence,yes,Lung_hypoinflation,590,577,12,6
cardiomegaly,severity,mild,Lung_hypoinflation,590,280,9,6
pulmonary artery,condition,enlarged,Lung_hypoinflation,300,140,6,6
lung volumes,condition,low,Lung_hypoinflation,502,253,6,6
lung volumes,condition,increased,Lung_hypoinflation,502,347,6,6
airspace disease,appearance,right middle lobe,Lung_hypoinflation,352,778,5,6
airspace disease,appearance,right upper lobe,Lung_hypoinflation,352,413,5,6
pleural thickening,appearance,biapical,Lung_hypoinflation,295,323,5,6
hiatal hernia,presence,yes,Lung_hypoinflation,433,577,12,6
tuberculosis,status,previous,Lung_hypoinflation,401,169,7,6
sternotomy,status,post,Lung_hypoinflation,181,622,7,6
central venous catheter,presence,yes,Lung_hypoinflation,299,577,12,6
central venous catheter,appearance,right jugular,Lung_hypoinflation,299,559,5,6
